station_id,mean_temperature,continent
6078,5.984013621449263,Asia
3645,-4.475940591792855,Africa
8307,6.602675664817392,Europa
3043,24.795284079648898,Asia
3350,8.99949531226133,SouthAmerica
4046,10.027275246683136,Europa
2397,28.419313218878244,Australia
3996,37.95430267712479,Africa
5364,2.787590188232768,Africa
6431,10.757813914521796,Asia
6956,18.876130704212667,Asia
7146,0.6815410035407412,NorthAmerica
1233,41.46714644281417,NorthAmerica
9912,16.81797332904295,NorthAmerica
2627,10.650139374455524,SouthAmerica
8818,36.07717844581338,Asia
8249,1.8747006973443936,Africa
7710,24.68467642264817,NorthAmerica
7689,19.234441061181784,Europa
8517,-4.86728127523547,Australia
8906,13.731750302915529,Australia
2560,40.447128095547555,NorthAmerica
8451,15.664851052356237,NorthAmerica
6336,-4.9714988343716024,Africa
1168,20.593241646132743,Asia
7891,41.3448654241709,Asia
3704,28.82364935804091,Europa
6879,11.659466843796768,NorthAmerica
9763,1.0904281496421628,Asia
9081,41.50450392129336,Africa
9772,9.464686702864405,Australia
3395,30.33122419389788,Europa
2992,44.8460431136156,NorthAmerica
9407,40.382791000638065,NorthAmerica
8752,28.1566230399784,Europa
4213,33.44732759081067,Australia
9591,26.050954007261065,Australia
9970,27.46660789339431,NorthAmerica
6496,10.373647157377151,Australia
3073,44.70225943787157,Australia
3178,32.808208753733666,NorthAmerica
6251,2.317150655425131,SouthAmerica
8567,44.55969183856516,Australia
7141,8.916131696008005,NorthAmerica
1953,36.76758699337431,SouthAmerica
3626,39.00879901532709,NorthAmerica
7336,3.668144649243704,Asia
8353,31.082117339919364,Asia
1717,6.451349323914917,Africa
1480,31.859750513749823,Asia
8340,-1.0010970408360031,Asia
3447,7.630687549098962,SouthAmerica
7140,2.6306791850288604,Europa
4887,33.15131593391375,Africa
9967,12.04196920998945,NorthAmerica
2182,41.652554339706356,SouthAmerica
1319,-0.2570042396424954,NorthAmerica
3367,21.77692598923569,Australia
9282,4.464146214271347,NorthAmerica
8712,4.602767447957678,SouthAmerica
3937,40.67334226170539,SouthAmerica
9839,31.69799522359142,NorthAmerica
7743,3.83743445336167,Africa
1965,-4.367791953873802,NorthAmerica
